~from,~to,~label
1,10,route
1,106,route
1,11,route
1,12,route
1,122,route
1,126,route
1,13,route
1,131,route
1,132,route
1,133,route
1,134,route
1,135,route
1,136,route
1,137,route
1,138,route
1,14,route
1,147,route
1,148,route
1,149,route
1,15,route
1,150,route
1,151,route
1,152,route
1,153,route
1,16,route
1,161,route
1,168,route
1,17,route
1,178,route
1,18,route
1,180,route
1,181,route
1,182,route
1,183,route
1,184,route
1,185,route
1,186,route
1,187,route
1,188,route
1,189,route
1,19,route
1,190,route
1,193,route
1,194,route
1,195,route
1,198,route
1,20,route
1,202,route
1,208,route
1,209,route
1,21,route
1,210,route
1,211,route
1,218,route
1,22,route
1,220,route
1,221,route
1,224,route
1,225,route
1,227,route
1,23,route
1,236,route
1,237,route
1,238,route
1,239,route
1,24,route
1,240,route
1,241,route
1,242,route
1,243,route
1,244,route
1,245,route
1,246,route
1,25,route
1,26,route
1,263,route
1,264,route
1,265,route
1,268,route
1,269,route
1,27,route
1,270,route
1,277,route
1,28,route
1,280,route
1,281,route
1,283,route
1,288,route
1,29,route
1,291,route
1,293,route
1,295,route
1,296,route
1,297,route
1,3,route
1,30,route
1,301,route
1,305,route
1,306,route
1,307,route
1,31,route
1,312,route
1,32,route
1,33,route
1,34,route
1,35,route
1,359,route
1,36,route
1,360,route
1,362,route
1,363,route
1,364,route
1,365,route
1,367,route
1,369,route
1,37,route
1,371,route
1,372,route
1,373,route
1,374,route
1,375,route
1,378,route
1,379,route
1,38,route
1,382,route
1,383,route
1,385,route
1,386,route
1,387,route
1,389,route
1,39,route
1,392,route
1,394,route
1,395,route
1,396,route
1,397,route
1,398,route
1,4,route
1,40,route
1,402,route
1,403,route
1,406,route
1,408,route
1,41,route
1,410,route
1,411,route
1,412,route
1,415,route
1,416,route
1,417,route
1,418,route
1,42,route
1,420,route
1,421,route
1,422,route
1,429,route
1,43,route
1,430,route
1,431,route
1,434,route
1,435,route
1,437,route
1,438,route
1,441,route
1,445,route
1,447,route
1,448,route
1,45,route
1,450,route
1,46,route
1,47,route
1,49,route
1,5,route
1,51,route
1,52,route
1,525,route
1,527,route
1,528,route
1,529,route
1,530,route
1,531,route
1,54,route
1,563,route
1,571,route
1,573,route
1,574,route
1,575,route
1,576,route
1,577,route
1,578,route
1,58,route
1,580,route
1,581,route
1,582,route
1,584,route
1,592,route
1,6,route
1,60,route
1,600,route
1,602,route
1,609,route
1,610,route
1,611,route
1,612,route
1,613,route
1,614,route
1,615,route
1,616,route
1,617,route
1,618,route
1,619,route
1,620,route
1,621,route
1,622,route
1,623,route
1,624,route
1,625,route
1,626,route
1,627,route
1,628,route
1,629,route
1,630,route
1,631,route
1,632,route
1,633,route
1,634,route
1,67,route
1,68,route
1,7,route
1,70,route
1,74,route
1,76,route
1,79,route
1,8,route
1,80,route
1,83,route
1,84,route
1,85,route
1,883,route
1,9,route
1,947,route
1,99,route
2,1092,route
2,1093,route
2,1094,route
2,1095,route
2,1096,route
2,1097,route
2,1098,route
2,1099,route
2,11,route
2,1100,route
2,1101,route
2,1102,route
2,1103,route
2,1104,route
2,1105,route
2,1106,route
2,1107,route
2,1108,route
2,1109,route
2,1110,route
2,1111,route
2,1112,route
2,1113,route
2,1114,route
2,13,route
2,149,route
2,159,route
2,17,route
2,18,route
2,20,route
2,217,route
2,22,route
2,23,route
2,2658,route
2,27,route
2,30,route
2,31,route
2,37,route
2,8,route
2,884,route
2,886,route
3,1,route
3,10,route
3,11,route
3,12,route
3,1274,route
3,13,route
3,136,route
3,147,route
3,149,route
3,15,route
3,150,route
3,151,route
3,16,route
3,17,route
3,178,route
3,18,route
3,180,route
3,182,route
3,183,route
3,184,route
3,185,route
3,186,route
3,187,route
3,188,route
3,189,route
3,190,route
3,193,route
3,194,route
3,195,route
3,20,route
3,208,route
3,21,route
3,22,route
3,227,route
3,23,route
3,239,route
3,24,route
3,240,route
3,244,route
3,25,route
3,26,route
3,265,route
3,268,route
3,269,route
3,27,route
3,271,route
3,273,route
3,277,route
3,278,route
3,28,route
3,280,route
3,281,route
3,29,route
3,30,route
3,31,route
3,33,route
3,34,route
3,35,route
3,362,route
3,365,route
3,368,route
3,37,route
3,371,route
3,375,route
3,38,route
3,389,route
3,39,route
3,395,route
3,4,route
3,403,route
3,41,route
3,416,route
3,42,route
3,422,route
3,429,route
3,43,route
3,430,route
3,431,route
3,444,route
3,45,route
3,46,route
3,47,route
3,48,route
3,49,route
3,5,route
3,50,route
3,52,route
3,549,route
3,6,route
3,605,route
3,7,route
3,70,route
3,8,route
3,883,route
3,9,route
3,909,route
3,929,route
3,99,route
4,1,route
4,10,route
4,11,route
4,1115,route
4,1116,route
4,12,route
4,1274,route
4,1295,route
4,13,route
4,14,route
4,147,route
4,149,route
4,15,route
4,150,route
4,16,route
4,17,route
4,178,route
4,18,route
4,180,route
4,182,route
4,183,route
4,184,route
4,185,route
4,186,route
4,187,route
4,189,route
4,190,route
4,20,route
4,21,route
4,22,route
4,23,route
4,239,route
4,240,route
4,25,route
4,26,route
4,269,route
4,277,route
4,281,route
4,29,route
4,296,route
4,3,route
4,30,route
4,31,route
4,33,route
4,34,route
4,35,route
4,36,route
4,363,route
4,375,route
4,38,route
4,397,route
4,41,route
4,416,route
4,42,route
4,421,route
4,430,route
4,438,route
4,445,route
4,45,route
4,46,route
4,47,route
4,49,route
4,5,route
4,549,route
4,6,route
4,609,route
4,627,route
4,632,route
4,633,route
4,7,route
4,8,route
4,83,route
4,86,route
4,9,route
4,99,route
5,1,route
5,10,route
5,1053,route
5,1059,route
5,106,route
